date,open,high,low,close,volume,amount,postVol,postAmt
2025-12-16,4.66,4.667,4.601,4.62,769355001,3559031617,,
2025-12-17,4.619,4.715,4.616,4.699,1085613318,5079203142,,
2025-12-18,4.683,4.692,4.661,4.668,678018855,3169750209,,
2025-12-19,4.68,4.714,4.666,4.688,831788937,3901916782,,
2025-12-22,4.702,4.735,4.702,4.73,837121964,3956863485,,
2025-12-23,4.735,4.763,4.726,4.74,808340536,3833240598,,
2025-12-24,4.74,4.765,4.726,4.757,533429378,2531260594,,
2025-12-25,4.75,4.777,4.744,4.766,427244304,2033628744,,
2025-12-26,4.766,4.801,4.755,4.784,816080091,3902900785,,
2025-12-29,4.78,4.794,4.749,4.763,852905033,4069832489,,
2025-12-30,4.746,4.79,4.742,4.773,477224225,2275508778,,
2025-12-31,4.777,4.789,4.742,4.753,666829236,3175879377,,
2026-01-05,4.783,4.848,4.78,4.844,1017132485,4902061805,,
2026-01-06,4.85,4.92,4.848,4.919,1052301545,5141603633,,
2026-01-07,4.92,4.927,4.876,4.901,933402554,4578481053,,
2026-01-08,4.888,4.894,4.843,4.863,682719778,3324674355,,
2026-01-09,4.857,4.903,4.844,4.885,1134855258,5535581862,,
2026-01-12,4.893,4.929,4.861,4.913,1333075333,6529675045,,
2026-01-13,4.922,4.965,4.876,4.896,1271783195,6249488306,,
2026-01-14,4.896,4.949,4.841,4.866,2136722288,10465332592,,
2026-01-15,4.849,4.894,4.843,4.875,5217148860,25390672681,,
2026-01-16,4.905,4.919,4.838,4.859,5320166468,25922582412,,
2026-01-19,4.737,4.769,4.718,4.738,2913439864,13792576409,,
2026-01-20,4.735,4.751,4.688,4.724,2886765633,13613769428,,
2026-01-21,4.709,4.764,4.709,4.73,4903973986,23207895509,,
2026-01-22,4.741,4.76,4.703,4.727,4316344208,20376067887,,
2026-01-23,4.732,4.742,4.687,4.704,6769378109,31834663643,,
2026-01-26,4.712,4.76,4.694,4.712,5939852882,28002364939,,
2026-01-27,4.712,4.742,4.679,4.71,4339135015,20450057577,,
2026-01-28,4.725,4.743,4.704,4.725,8497782253,40100175381,,
2026-01-29,4.724,4.779,4.704,4.768,3545664739,16773879626,,
2026-01-30,4.736,4.758,4.642,4.711,1670274801,7860479504,,
2026-02-02,4.68,4.719,4.591,4.6,2651134391,12299263716,,
2026-02-03,4.64,4.668,4.585,4.664,1052944612,4881749326,,
2026-02-04,4.652,4.709,4.643,4.707,1052505916,4914865553,,
2026-02-05,4.68,4.695,4.645,4.679,933982876,4364498239,,
2026-02-06,4.643,4.691,4.61,4.649,881673740,4106577054,,
2026-02-09,4.695,4.73,4.686,4.727,701119504,3304026961,,
2026-02-10,4.733,4.739,4.72,4.733,680461663,3219183511,,
2026-02-11,4.727,4.732,4.714,4.723,372078690,1757895647,,
2026-02-12,4.729,4.735,4.716,4.727,398012411,1881073591,,
2026-02-13,4.714,4.714,4.667,4.671,1367357151,6405790170,,
2026-02-24,4.725,4.736,4.705,4.716,624245587,2946760847,,
2026-02-25,4.717,4.778,4.716,4.75,873403106,4148107679,,
2026-02-26,4.751,4.754,4.712,4.735,766372132,3624553287,,
2026-02-27,4.72,4.732,4.7,4.725,606245261,2859792911,,
2026-03-02,4.694,4.743,4.674,4.739,1242367525,5860854055,,
2026-03-03,4.741,4.751,4.665,4.678,966557866,4550837091,,
2026-03-04,4.64,4.65,4.587,4.61,829224020,3830984400,,
2026-03-05,4.647,4.678,4.639,4.654,568420959,2646464156,,
2026-03-06,4.64,4.682,4.624,4.667,504375859,2349185776,,
2026-03-09,4.623,4.638,4.56,4.629,838098260,3854535508,,
2026-03-10,4.642,4.689,4.641,4.683,546012517,2550822882,,
2026-03-11,4.686,4.719,4.682,4.711,593712221,2792866730,,
2026-03-12,4.711,4.711,4.665,4.694,343383626,1610201018,,
2026-03-13,4.672,4.716,4.67,4.677,325112905,1526480622,,
2026-03-16,4.675,4.686,4.632,4.68,403862701,1881524447,,
2026-03-17,4.686,4.731,4.645,4.646,723337660,3388771831,,
2026-03-18,4.652,4.67,4.616,4.662,770262709,3575798297,,
2026-03-19,4.621,4.641,4.581,4.599,772241809,3558170504,,
