序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd
5018,688409,富创精密,188.11,-2.14,-4.12,38867.0,743487709.0,6.12,197.84,186.08,196.04,192.23,1.18,1.27,248.52,12.75,57601308133.0,57601308133.0,-0.12,0.52,81.26,179.09
5019,603998,方盛制药,9.15,-2.14,-0.2,53991.0,49845219.0,2.25,9.35,9.14,9.35,9.35,1.67,1.23,11.36,2.41,4017594444.0,4017594444.0,-0.54,-0.54,-12.02,-16.36
5020,688478,晶升股份,44.52,-2.15,-0.98,27982.0,128178038.0,6.81,47.1,44.0,44.59,45.5,1.54,2.02,-175.81,4.11,6160058594.0,6160058594.0,0.0,0.68,4.63,19.01
5021,300235,方直科技,10.47,-2.15,-0.23,30677.0,32136896.0,2.9,10.65,10.34,10.5,10.7,1.66,1.51,317.25,3.75,2635787268.0,2126800322.0,0.0,0.1,-25.21,-35.73
5022,300188,国投智能,9.99,-2.15,-0.22,55125.0,55268746.85,1.96,10.15,9.95,10.15,10.21,1.53,0.64,-14.13,3.44,8586178327.0,8546530814.0,0.1,0.1,-20.9,-31.62
5023,002440,闰土股份,12.28,-2.15,-0.27,433624.0,524080030.86,5.02,12.45,11.82,12.3,12.55,1.82,4.58,18.78,1.39,13802718833.0,11621293776.0,0.9,0.82,-0.16,68.91
5024,603160,汇顶科技,49.47,-2.16,-1.09,25064.0,124928817.0,3.09,50.79,49.23,50.5,50.56,1.02,0.54,49.18,2.5,23052166890.0,23052166890.0,-0.08,0.26,-23.49,-37.07
5025,301096,百诚医药,38.52,-2.16,-0.85,13998.0,54436651.93,4.06,39.8,38.2,38.98,39.37,0.61,1.68,82.1,1.68,4207473500.0,3200625490.0,0.31,0.47,-32.55,-32.59
5026,300086,康芝药业,5.89,-2.16,-0.13,143288.0,84498833.3,4.15,6.06,5.81,5.91,6.02,1.37,3.25,-57.04,3.02,2680682781.0,2595572935.0,0.0,-0.34,-15.86,-51.04
5027,300550,和仁科技,10.36,-2.17,-0.23,21120.0,22056844.0,2.83,10.62,10.32,10.46,10.59,0.75,0.81,-74.03,2.4,2720123061.0,2717434071.0,-0.29,0.0,-5.73,-28.45
5028,301510,固高科技,24.77,-2.17,-0.55,38797.0,96965627.47,3.04,25.45,24.68,25.33,25.32,1.25,1.39,112.28,6.92,9908247700.0,6914774870.0,-0.2,0.04,-30.6,-33.77
5029,688331,荣昌生物,124.14,-2.17,-2.76,31111.0,393720125.0,5.35,130.42,123.63,126.63,126.9,1.15,0.87,53.41,17.84,70074234740.0,44180959730.0,-0.32,0.11,-6.68,59.58
5030,300661,圣邦股份,103.8,-2.18,-2.31,63957.0,673730091.65,6.1,108.47,102.0,106.11,106.11,1.19,1.06,142.01,13.15,70263005974.0,62410886195.0,-0.21,0.54,16.43,51.67
5031,603882,金域医学,26.52,-2.18,-0.59,28627.0,76311898.0,2.14,26.98,26.4,26.95,27.11,0.95,0.62,71.78,1.94,12285609453.0,12202768982.0,0.19,0.34,-6.22,-3.49
5032,300562,乐心医疗,12.14,-2.18,-0.27,28856.0,35295652.0,2.98,12.45,12.08,12.3,12.41,0.9,1.73,20.68,2.57,2653484572.0,2026509356.0,0.17,0.25,-15.34,-8.03
5033,002078,太阳纸业,14.27,-2.19,-0.32,105148.0,149984956.0,3.08,14.56,14.11,14.5,14.59,1.22,0.38,11.0,1.3,39878016148.0,39632848544.0,-0.14,-0.14,-0.63,-8.23
5035,688096,京源环保,7.11,-2.2,-0.16,18924.0,13659736.0,3.85,7.35,7.07,7.18,7.27,0.61,0.81,-89.28,2.01,1662003731.0,1662003731.0,0.0,0.14,-12.33,-10.0
5036,002987,京北方,10.65,-2.2,-0.24,179101.0,191418909.73,2.85,10.9,10.59,10.73,10.89,2.73,1.77,110.1,3.93,11080867966.0,10798304796.0,0.19,0.19,-19.56,-40.07
5037,600505,西昌电力,11.54,-2.2,-0.26,103655.0,118360972.0,3.64,11.65,11.22,11.44,11.8,1.64,2.84,337.88,3.46,4207108950.0,4207108950.0,0.0,-0.17,-12.24,-11.57
5038,688327,云从科技-UW,10.22,-2.2,-0.23,94159.0,96943313.0,2.87,10.47,10.17,10.43,10.45,1.35,1.13,-204.14,13.95,10628547862.0,8532349417.0,0.2,0.49,-24.01,-28.88
5039,002739,儒意电影,8.9,-2.2,-0.2,440017.0,391866542.82,4.4,9.16,8.76,9.1,9.1,0.85,2.11,54.06,2.47,18794830501.0,18529816447.0,0.11,0.11,-11.44,-21.38
5040,600867,通化东宝,8.02,-2.2,-0.18,170483.0,137302495.0,2.2,8.15,7.97,8.12,8.2,1.57,0.87,30.97,2.36,15707513489.0,15707513489.0,-0.12,0.12,-13.86,1.91
5041,301297,富乐德,31.85,-2.21,-0.72,67395.0,216885320.5,3.75,32.88,31.66,32.46,32.57,1.13,1.79,62.18,4.27,24103121124.0,11980677750.0,-0.41,0.19,-19.31,-10.78
5043,688366,昊海生科,31.39,-2.21,-0.71,2545.0,8023518.0,1.46,31.85,31.38,31.5,32.1,0.91,0.13,24.41,1.35,7183042601.0,6091287728.0,-0.19,0.0,-19.41,-27.52
5044,300260,新莱应材,56.09,-2.21,-1.27,65925.0,378467941.7,5.16,58.99,56.03,57.75,57.36,1.13,2.29,108.21,10.75,22873880720.0,16133556245.0,-0.76,-0.05,14.96,-1.32
5045,301626,苏州天脉,222.94,-2.22,-5.06,7773.0,176583497.0,5.88,233.4,220.0,228.92,228.0,1.0,1.48,517.49,16.2,25789699200.0,11730879414.0,-0.1,0.05,-14.08,19.8
5046,003043,华亚智能,64.76,-2.22,-1.47,29009.0,191709072.89,4.53,67.5,64.5,66.24,66.23,1.22,3.09,298.86,4.57,9326094206.0,6088553483.0,-0.49,0.09,16.45,40.42
5047,300203,聚光科技,11.47,-2.22,-0.26,27006.0,31131291.0,3.07,11.77,11.41,11.65,11.73,0.87,0.6,-17.7,1.98,5147020272.0,5142586257.0,0.0,0.26,-17.6,-27.68
5048,301004,嘉益股份,32.81,-2.23,-0.75,2855.0,9412158.0,1.91,33.39,32.75,33.3,33.56,0.79,0.21,19.47,2.66,4783903456.0,4465682974.0,0.03,-0.27,-33.64,-36.96
5049,000037,深南电A,10.08,-2.23,-0.23,308574.0,305068614.57,6.69,10.29,9.6,9.82,10.31,2.3,9.1,126.31,3.64,6075846968.0,3416194152.0,-0.3,0.4,-6.23,22.18
5050,301190,善水科技,18.82,-2.23,-0.43,77015.0,141814605.0,6.75,19.08,17.78,18.13,19.25,2.49,5.38,26.6,2.07,4039458930.0,2693217280.0,0.43,-0.05,-22.26,-10.68
5051,688475,萤石网络,28.11,-2.23,-0.64,41151.0,116539199.0,3.58,28.95,27.92,28.78,28.75,2.19,0.52,30.3,3.91,22136625000.0,22136625000.0,-0.11,0.0,-5.42,-5.39
5052,688630,芯碁微装,392.02,-2.24,-8.98,25804.0,1036100991.0,6.94,414.81,387.0,408.51,401.0,1.12,1.96,132.47,24.68,57432935574.0,51644995486.0,0.52,0.66,55.04,192.92
5053,688530,欧莱新材,54.98,-2.24,-1.26,34485.0,192378590.0,5.14,57.36,54.47,57.36,56.24,1.23,4.94,54.07,10.39,8799264424.0,3836436445.0,0.05,0.51,42.81,234.43
5054,603038,华立股份,11.79,-2.24,-0.27,17544.0,20973766.0,3.48,12.14,11.72,11.84,12.06,0.84,0.65,11.51,2.23,3167703080.0,3167703080.0,-0.08,0.6,-29.36,-26.54
5055,688050,爱博医疗,40.08,-2.24,-0.92,12441.0,50344942.0,2.37,41.0,40.03,40.8,41.0,1.01,0.64,21.71,2.77,7752984419.0,7752984419.0,-0.05,-0.07,-24.09,-33.58
5056,300870,欧陆通,215.48,-2.25,-4.96,25939.0,574634611.81,7.15,230.5,214.74,225.0,220.44,1.24,1.7,-655.66,12.77,32891630430.0,32888010366.0,-0.61,0.03,-13.04,36.69
5058,300480,光力科技,26.88,-2.25,-0.62,104394.0,285098470.25,4.36,27.93,26.73,27.62,27.5,1.43,3.86,78.91,5.7,9951583488.0,7261952195.0,-0.26,0.15,-22.2,60.86
5059,688315,诺禾致源,12.11,-2.26,-0.28,15737.0,19348948.0,3.23,12.51,12.11,12.31,12.39,1.33,0.38,42.79,1.9,5040182000.0,5040182000.0,-0.41,-0.49,-14.11,-8.53
5060,002603,以岭药业,16.85,-2.26,-0.39,139313.0,235778045.4,2.38,17.19,16.78,17.0,17.24,0.99,1.01,17.21,2.67,28151385586.0,23194597630.0,0.0,-0.12,4.21,1.69
