ticker,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct
300074,1893102.0,6.9,0.0,0.0,1893102.0,6.9,-671187.0,-2.45,-1221915.0,-4.45
600249,1889900.0,15.07,931622.0,7.43,958278.0,7.64,-2718173.0,-21.67,828273.0,6.6
300682,1885153.0,3.24,0.0,0.0,1885153.0,3.24,-2202937.0,-3.79,317785.0,0.55
002593,1883551.0,7.7,0.0,0.0,1883551.0,7.7,-3341054.0,-13.65,1457503.0,5.96
301041,1875647.0,3.47,0.0,0.0,1875647.0,3.47,3252182.0,6.02,-5127827.0,-9.49
600800,1872286.0,3.98,1297450.0,2.76,574836.0,1.22,-4664858.0,-9.92,2792572.0,5.94
000886,1867067.0,6.84,0.0,0.0,1867067.0,6.84,-2390297.0,-8.75,523231.0,1.92
002053,1865165.0,4.08,0.0,0.0,1865165.0,4.08,-5960589.0,-13.05,4095424.0,8.97
600955,1844116.0,9.55,1157294.0,5.99,686822.0,3.56,-881701.0,-4.57,-962415.0,-4.98
301132,1843900.0,1.72,-12266995.0,-11.46,14110895.0,13.19,6106190.0,5.71,-7950090.0,-7.43
600439,1841546.0,18.09,1211384.0,11.9,630162.0,6.19,-609819.0,-5.99,-1231727.0,-12.1
000691,1841232.0,2.04,-1632270.0,-1.81,3473502.0,3.86,-4585506.0,-5.09,2744274.0,3.05
600429,1838540.0,9.08,871286.0,4.31,967254.0,4.78,313692.0,1.55,-2152232.0,-10.63
300626,1832260.0,2.95,3104061.0,5.0,-1271801.0,-2.05,-1275921.0,-2.06,-556339.0,-0.9
000922,1831029.0,4.75,-201268.0,-0.52,2032297.0,5.27,2335948.0,6.06,-4166977.0,-10.81
002494,1829240.0,5.57,2582140.0,7.86,-752900.0,-2.29,-3528544.0,-10.74,1699304.0,5.17
002721,1824895.0,5.42,-970983.0,-2.88,2795878.0,8.3,-2505125.0,-7.44,680230.0,2.02
300048,1821024.0,7.5,712416.0,2.93,1108608.0,4.56,-364867.0,-1.5,-1456157.0,-6.0
300602,1817300.0,0.4,-12591088.0,-2.79,14408388.0,3.19,21105260.0,4.67,-22922559.0,-5.07
601799,1814511.0,2.8,-1555076.0,-2.4,3369587.0,5.21,-11628975.0,-17.96,9796392.0,15.13
301065,1814266.0,15.36,0.0,0.0,1814266.0,15.36,-1423050.0,-12.05,-391216.0,-3.31
300981,1803560.0,9.61,1160298.0,6.19,643262.0,3.43,-1664243.0,-8.87,-139317.0,-0.74
600737,1801287.0,1.3,317789.0,0.23,1483498.0,1.07,-3997566.0,-2.89,2196279.0,1.59
002398,1797497.0,7.43,0.0,0.0,1797497.0,7.43,1754106.0,7.25,-3551604.0,-14.68
300508,1787322.0,3.63,2007268.0,4.07,-219946.0,-0.45,-551622.0,-1.12,-1235700.0,-2.51
300965,1785086.0,6.09,0.0,0.0,1785086.0,6.09,-210156.0,-0.72,-1574930.0,-5.37
000959,1779355.0,2.69,3752472.0,5.67,-1973117.0,-2.98,-4727027.0,-7.14,2947672.0,4.45
601199,1778467.0,6.92,0.0,0.0,1778467.0,6.92,1546373.0,6.01,-3324840.0,-12.93
600529,1776846.0,3.26,879840.0,1.61,897006.0,1.64,-111865.0,-0.21,-1664981.0,-3.05
002136,1775309.0,4.13,-1179000.0,-2.74,2954309.0,6.86,-3238791.0,-7.53,1463482.0,3.4
000567,1773531.0,3.27,814393.0,1.5,959138.0,1.77,-9160402.0,-16.88,7386871.0,13.61
688543,1768196.0,2.62,813781.0,1.2,954415.0,1.41,537695.0,0.8,-2305890.0,-3.41
300397,1762411.0,3.47,0.0,0.0,1762411.0,3.47,3595500.0,7.07,-5357911.0,-10.54
600830,1758805.0,17.35,0.0,0.0,1758805.0,17.35,-787852.0,-7.77,-970953.0,-9.58
600192,1756572.0,5.96,0.0,0.0,1756572.0,5.96,551221.0,1.87,-2309017.0,-7.83
002427,1750929.0,7.86,0.0,0.0,1750929.0,7.86,-3710742.0,-16.66,1959813.0,8.8
300385,1750232.0,6.24,0.0,0.0,1750232.0,6.24,-913391.0,-3.25,-836841.0,-2.98
300556,1747883.0,6.64,0.0,0.0,1747883.0,6.64,-626885.0,-2.38,-1120998.0,-4.26
600566,1745617.0,2.0,-1934151.0,-2.22,3679768.0,4.23,-6502786.0,-7.47,4757169.0,5.46
002996,1742486.0,8.68,0.0,0.0,1742486.0,8.68,-808768.0,-4.03,-933718.0,-4.65
002321,1742178.0,6.75,-740607.0,-2.87,2482785.0,9.61,-1408550.0,-5.45,-333628.0,-1.29
603248,1735676.0,5.04,0.0,0.0,1735676.0,5.04,-537407.0,-1.56,-1198269.0,-3.48
300996,1733899.0,5.27,-1194470.0,-3.63,2928369.0,8.89,30125.0,0.09,-1764022.0,-5.36
603727,1733010.0,2.45,-421376.0,-0.6,2154386.0,3.05,-1392492.0,-1.97,-340518.0,-0.48
600764,1728464.0,5.19,55273.0,0.17,1673191.0,5.03,-1912149.0,-5.74,183685.0,0.55
300377,1720876.0,0.98,-4919478.0,-2.8,6640354.0,3.78,-4967931.0,-2.83,3247055.0,1.85
300269,1718501.0,6.39,0.0,0.0,1718501.0,6.39,-1432661.0,-5.32,-285840.0,-1.06
002086,1715757.0,8.27,0.0,0.0,1715757.0,8.27,-813014.0,-3.92,-902743.0,-4.35
688006,1709679.0,1.93,-2095442.0,-2.37,3805121.0,4.3,1551535.0,1.75,-3261214.0,-3.68
600207,1705527.0,4.29,2194684.0,5.52,-489157.0,-1.23,-3350723.0,-8.42,1698530.0,4.27
002040,1699122.0,6.24,3529336.0,12.95,-1830214.0,-6.72,754512.0,2.77,-2453633.0,-9.01
002678,1689309.0,7.12,470000.0,1.98,1219309.0,5.14,-3770024.0,-15.89,2080715.0,8.77
301558,1688792.0,14.21,0.0,0.0,1688792.0,14.21,-2456455.0,-20.66,767662.0,6.46
300143,1688415.0,5.09,3706558.0,11.18,-2018143.0,-6.09,-2933952.0,-8.85,1245536.0,3.76
600423,1683762.0,29.15,0.0,0.0,1683762.0,29.15,-1370652.0,-23.73,-313110.0,-5.42
301389,1682602.0,0.89,-1184813.0,-0.63,2867415.0,1.52,3601920.0,1.92,-5284521.0,-2.81
601298,1682537.0,5.02,1004337.0,3.0,678200.0,2.02,-1552418.0,-4.63,-130119.0,-0.39
002054,1667123.0,5.75,344134.0,1.19,1322989.0,4.56,-2396695.0,-8.26,729572.0,2.51
603359,1663241.0,17.64,0.0,0.0,1663241.0,17.64,-1524425.0,-16.17,-138816.0,-1.47
300225,1663210.0,8.16,0.0,0.0,1663210.0,8.16,-997389.0,-4.89,-665821.0,-3.27
002635,1663190.0,1.55,352570.0,0.33,1310620.0,1.22,203770.0,0.19,-1866961.0,-1.74
002581,1661952.0,25.08,389850.0,5.88,1272102.0,19.2,-226099.0,-3.41,-1435853.0,-21.67
000014,1657169.0,4.81,0.0,0.0,1657169.0,4.81,1228003.0,3.57,-2885171.0,-8.38
605222,1651250.0,2.53,-3518446.0,-5.38,5169696.0,7.91,3187534.0,4.88,-4838784.0,-7.4
688607,1647543.0,4.39,0.0,0.0,1647543.0,4.39,-4537866.0,-12.08,2890324.0,7.7
603766,1645595.0,2.64,1153110.0,1.85,492485.0,0.79,-4106313.0,-6.6,2460718.0,3.95
600784,1643536.0,5.07,238528.0,0.74,1405008.0,4.33,-2284044.0,-7.04,640508.0,1.97
688560,1642123.0,8.88,0.0,0.0,1642123.0,8.88,45433.0,0.25,-1687557.0,-9.12
001378,1640366.0,5.39,0.0,0.0,1640366.0,5.39,-2449314.0,-8.05,808948.0,2.66
300355,1639866.0,10.51,0.0,0.0,1639866.0,10.51,-2143707.0,-13.74,503841.0,3.23
