序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct
577,603276,恒兴新材,13.97,2.87,0.39,16100.0,22187340.0,4.64,14.02,13.39,13.48,13.58,2.39,2.13,27.98,1.64,2900863473.0,1056723322.0,0.22,0.22,-18.97,-15.08,1549673.0,6.93,349935.0,1.56,1199738.0,5.36,68320.0,0.31,-1617992.0,-7.23
578,600795,国电电力,5.04,2.86,0.14,1511809.0,755741345.0,2.65,5.05,4.92,4.94,4.9,3.05,0.85,16.08,1.53,89891520173.0,89891520173.0,0.2,0.2,5.22,2.86,122466333.0,16.14,118940508.0,15.67,3525825.0,0.46,-76197882.0,-10.04,-46268451.0,-6.1
579,300335,迪森股份,5.76,2.86,0.16,282133.0,157106976.1,7.5,5.8,5.38,5.47,5.6,2.43,7.34,42.74,1.46,2747591355.0,2212757793.0,2.13,1.59,-9.58,1.77,3829919.0,2.4,2765218.0,1.74,1064701.0,0.67,-475573.0,-0.3,-3354346.0,-2.11
580,603799,华友钴业,40.94,2.86,1.14,429414.0,1747019314.0,4.95,41.57,39.6,39.8,39.8,2.17,2.27,7.76,1.56,77521016546.0,77278638645.0,0.02,-0.75,-36.31,-39.58,146201025.0,8.31,76187809.0,4.33,70013216.0,3.98,-38910304.0,-2.21,-107286624.0,-6.1
581,688480,赛恩斯,72.12,2.85,2.0,5787.0,40814130.0,6.15,72.2,67.89,67.89,70.12,0.85,0.61,53.49,5.89,6874924029.0,6874924029.0,1.18,1.43,-21.33,41.22,2331262.0,5.62,-2136923.0,-5.15,4468185.0,10.77,-1544786.0,-3.72,-786477.0,-1.9
582,301357,北方长龙,73.99,2.85,2.05,12292.0,90325814.14,5.53,74.63,70.65,71.89,71.94,2.29,1.29,-141.4,6.21,7043848000.0,7043848000.0,-0.01,-0.26,-34.31,-47.49,-1818739.0,-2.01,0.0,0.0,-1818739.0,-2.01,110883.0,0.12,1707856.0,1.88
583,600688,上海石化,2.89,2.85,0.08,626883.0,179032895.0,3.56,2.9,2.8,2.81,2.81,2.14,0.86,18.35,1.29,30468164575.0,21180271015.0,0.35,0.35,4.33,3.96,17958632.0,9.7,7369376.0,3.98,10589256.0,5.72,-23599687.0,-12.75,5640189.0,3.05
586,688560,明冠新材,10.47,2.85,0.29,17708.0,18425774.0,4.72,10.58,10.1,10.1,10.18,1.48,0.88,-32.74,0.82,2107631081.0,2107631081.0,0.1,0.0,-35.57,-26.73,1642123.0,8.88,0.0,0.0,1642123.0,8.88,45433.0,0.25,-1687557.0,-9.12
587,001280,中国铀业,63.85,2.85,1.77,66478.0,421547136.5,5.2,64.43,61.2,62.13,62.08,2.86,3.83,154.2,8.01,132053409079.0,11092486381.0,0.2,-0.05,-22.91,5.26,25046334.0,5.94,-6885955.0,-1.63,31932289.0,7.58,-3249375.0,-0.77,-21796961.0,-5.17
588,301038,深水规院,14.86,2.84,0.41,25772.0,38448837.84,4.84,15.12,14.42,14.45,14.45,2.17,1.16,-24.04,3.78,3314968800.0,3314968800.0,-0.13,0.2,-26.14,-36.41,835566.0,2.17,0.0,0.0,835566.0,2.17,-2145719.0,-5.58,1310153.0,3.41
