date,open,high,low,close,volume,amount,postVol,postAmt
2026-05-28,2.735,2.84,2.735,2.823,182315940,512098615,,
2026-05-29,2.83,2.844,2.625,2.666,196590942,533983274,,
2026-06-01,2.628,2.662,2.52,2.522,211129495,546511623,,
2026-06-02,2.523,2.615,2.5,2.573,263934066,674743155,,
2026-06-03,2.582,2.718,2.578,2.64,199517234,528498181,,
2026-06-04,2.59,2.76,2.59,2.742,189104809,514857779,,
2026-06-05,2.686,2.755,2.64,2.659,147317933,397868222,,
2026-06-08,2.498,2.645,2.498,2.573,143834899,374197592,,
2026-06-09,2.644,2.79,2.622,2.789,152282870,412948314,,
2026-06-10,2.741,2.897,2.741,2.851,182171900,517746637,,
2026-06-11,2.85,3.004,2.85,3.002,179692475,530724090,,
2026-06-12,3.152,3.177,2.909,2.926,290165013,881674466,,
2026-06-15,2.952,3.067,2.846,3.065,159819620,477674581,,
2026-06-16,3.06,3.112,3.033,3.078,142291600,436889869,,
2026-06-17,3.007,3.316,3.006,3.315,143509837,452135228,,
2026-06-18,3.301,3.39,3.283,3.365,162069500,541248901,,
2026-06-22,3.414,3.497,3.34,3.469,211546400,726352156,,
2026-06-23,3.457,3.556,3.368,3.459,214162700,738499394,,
2026-06-24,3.383,3.69,3.376,3.659,258067004,923211228,,
2026-06-25,3.7,3.806,3.662,3.777,285137300,1066904340,,
2026-06-26,1.237,1.32,1.237,1.307,834541405,1076692048,,
2026-06-29,1.325,1.423,1.3,1.419,1075700820,1451755172,,
2026-06-30,1.433,1.465,1.391,1.463,1174974148,1673735287,,
2026-07-01,1.46,1.559,1.44,1.469,1232430949,1844201048,,
2026-07-02,1.379,1.43,1.322,1.343,1286208085,1776947424,,
2026-07-03,1.298,1.338,1.254,1.293,1221168452,1583418952,,
2026-07-06,1.308,1.32,1.231,1.281,810263180,1036972685,206100.0,264014.0
2026-07-07,1.25,1.325,1.25,1.304,714948744,922608225,189800.0,247499.0
2026-07-08,1.296,1.368,1.25,1.328,950810074,1245589074,189200.0,251258.0
2026-07-09,1.361,1.461,1.329,1.461,940006026,1301264572,266900.0,389941.0
2026-07-10,1.469,1.516,1.362,1.369,1444495908,2103649228,1925200.0,2635599.0
2026-07-13,1.315,1.369,1.261,1.273,1342293473,1763990476,979100.0,1246394.0
2026-07-14,1.26,1.302,1.196,1.275,1145325729,1440591362,584000.0,744600.0
2026-07-15,1.295,1.3,1.176,1.184,963239146,1173520934,757400.0,896762.0
2026-07-16,1.13,1.184,1.088,1.093,1168307709,1314520437,562300.0,614594.0
2026-07-17,1.076,1.107,1.023,1.032,1648076453,1766712414,554500.0,572244.0
2026-07-20,1.057,1.07,0.941,0.966,1339275645,1350984675,279200.0,269707.0
2026-07-21,0.979,1.063,0.93,1.063,1348701588,1350902978,11200.0,11906.0
